cod_ine,nombre,included,reason,start_year,end_year
01059,Vitoria,True,,2020,2023
02003,Albacete,True,,2020,2023
02009,Almansa,True,,2020,2023
02037,Hellín,True,,2020,2023
02081,Villarrobledo,True,,2020,2023
03009,Alcoy/Alcoi,True,,2020,2023
03014,Alicante/Alacant,True,,2020,2023
03031,Benidorm,True,,2020,2023
03047,Calpe/Calp,True,,2020,2023
03050,"Campello, el",False,"especulacion:2020:aceleracion_precio ausente/no finito, desacoplamiento_precio_renta ausente/no finito, precio 2019: 0/4 trimestres válidos, precio 2018: 0/4 trimestres válidos; gentrificacion:2020:brecha_precio_renta_3a ausente/no finito, precio 2017: 0/4 trimestres válidos; especulacion:2021:aceleracion_precio ausente/no finito, precio 2019: 0/4 trimestres válidos; gentrificacion:2021:brecha_precio_renta_3a ausente/no finito, precio 2018: 0/4 trimestres válidos; gentrificacion:2022:brecha_precio_renta_3a ausente/no finito, precio 2019: 0/4 trimestres válidos",2020,2023
03059,Crevillent,True,,2020,2023
03063,Dénia,True,,2020,2023
03065,Elche/Elx,True,,2020,2023
03066,Elda,True,,2020,2023
03082,Jávea/Xábia,True,,2020,2023
03093,Novelda,True,,2020,2023
03099,Orihuela,True,,2020,2023
03104,Petrer,True,,2020,2023
03121,Santa Pola,True,,2020,2023
03122,San Vicente del Raspeig,True,,2020,2023
03133,Torrevieja,True,,2020,2023
03139,Villajoyosa/Vila Joiosa (La),True,,2020,2023
03140,Villena,True,,2020,2023
04013,Almería,True,,2020,2023
04066,Nijar,False,"especulacion:2020:aceleracion_precio ausente/no finito, desacoplamiento_precio_renta ausente/no finito, precio 2019: 0/4 trimestres válidos, precio 2018: 0/4 trimestres válidos; gentrificacion:2020:brecha_precio_renta_3a ausente/no finito, precio 2017: 0/4 trimestres válidos; especulacion:2021:aceleracion_precio ausente/no finito, precio 2019: 0/4 trimestres válidos; gentrificacion:2021:brecha_precio_renta_3a ausente/no finito, precio 2018: 0/4 trimestres válidos; gentrificacion:2022:brecha_precio_renta_3a ausente/no finito, precio 2019: 0/4 trimestres válidos",2020,2023
04079,Roquetas de Mar,True,,2020,2023
04902,Ejido (El),True,,2020,2023
05019,Ávila,True,,2020,2023
06011,Almendralejo,True,,2020,2023
06015,Badajoz,True,,2020,2023
06044,Don Benito,True,,2020,2023
06083,Mérida,True,,2020,2023
06153,Villanueva de la Serena,False,"especulacion:2020:aceleracion_precio ausente/no finito, desacoplamiento_precio_renta ausente/no finito, precio 2019: 0/4 trimestres válidos, precio 2018: 0/4 trimestres válidos; gentrificacion:2020:brecha_precio_renta_3a ausente/no finito, precio 2017: 0/4 trimestres válidos; especulacion:2021:aceleracion_precio ausente/no finito, precio 2019: 0/4 trimestres válidos; gentrificacion:2021:brecha_precio_renta_3a ausente/no finito, precio 2018: 0/4 trimestres válidos; gentrificacion:2022:brecha_precio_renta_3a ausente/no finito, precio 2019: 0/4 trimestres válidos",2020,2023
07011,Calvià,True,,2020,2023
07015,Ciutadella de Menorca,True,,2020,2023
07026,Eivissa,True,,2020,2023
07027,Inca,True,,2020,2023
07031,Llucmajor,True,,2020,2023
07032,Mahón,True,,2020,2023
07033,Manacor,True,,2020,2023
07036,Marratxí,True,,2020,2023
07040,Palma de Mallorca,True,,2020,2023
07054,Santa Eulalia del Río,True,,2020,2023
08015,Badalona,True,,2020,2023
08019,Barcelona,True,,2020,2023
08056,Castelldefels,True,,2020,2023
08073,Cornellà de Llobregat,True,,2020,2023
08077,Esplugues de Llobregat,True,,2020,2023
08089,Gavà,True,,2020,2023
08096,Granollers,True,,2020,2023
08101,Hospitalet de Llobregat (L'),True,,2020,2023
08102,Igualada,True,,2020,2023
08113,Manresa,True,,2020,2023
08114,Martorell,True,,2020,2023
08121,Mataró,True,,2020,2023
08124,Mollet del Vallès,True,,2020,2023
08125,Montcada i Reixac,True,,2020,2023
08163,Pineda de Mar,False,"especulacion:2020:aceleracion_precio ausente/no finito, desacoplamiento_precio_renta ausente/no finito, precio 2019: 0/4 trimestres válidos, precio 2018: 0/4 trimestres válidos; gentrificacion:2020:brecha_precio_renta_3a ausente/no finito, precio 2017: 0/4 trimestres válidos; especulacion:2021:aceleracion_precio ausente/no finito, precio 2019: 0/4 trimestres válidos; gentrificacion:2021:brecha_precio_renta_3a ausente/no finito, precio 2018: 0/4 trimestres válidos; gentrificacion:2022:brecha_precio_renta_3a ausente/no finito, precio 2019: 0/4 trimestres válidos",2020,2023
08169,Prat de Llobregat (El),True,,2020,2023
08172,Premià de Mar,True,,2020,2023
08180,Ripollet,True,,2020,2023
08184,Rubí,True,,2020,2023
08187,Sabadell,True,,2020,2023
08194,Sant Adrià de Besòs,True,,2020,2023
08196,Sant Andreu de la Barca,False,"especulacion:2020:aceleracion_precio ausente/no finito, desacoplamiento_precio_renta ausente/no finito, precio 2019: 0/4 trimestres válidos, precio 2018: 0/4 trimestres válidos; gentrificacion:2020:brecha_precio_renta_3a ausente/no finito, precio 2017: 0/4 trimestres válidos; especulacion:2021:aceleracion_precio ausente/no finito, precio 2019: 0/4 trimestres válidos; gentrificacion:2021:brecha_precio_renta_3a ausente/no finito, precio 2018: 0/4 trimestres válidos; gentrificacion:2022:brecha_precio_renta_3a ausente/no finito, precio 2019: 0/4 trimestres válidos",2020,2023
08200,Sant Boi de Llobregat,True,,2020,2023
08205,Sant Cugat del Vallès,True,,2020,2023
08211,Sant Feliu de Llobregat,True,,2020,2023
08217,Sant Joan Despí,True,,2020,2023
08231,Sant Pere de Ribes,True,,2020,2023
08245,Santa Coloma Gramanet,True,,2020,2023
08252,Barberà del Vallès,True,,2020,2023
08260,Santa Perpètua de Mogoda,False,"especulacion:2020:aceleracion_precio ausente/no finito, desacoplamiento_precio_renta ausente/no finito, precio 2019: 0/4 trimestres válidos, precio 2018: 0/4 trimestres válidos; gentrificacion:2020:brecha_precio_renta_3a ausente/no finito, precio 2017: 0/4 trimestres válidos; especulacion:2021:aceleracion_precio ausente/no finito, precio 2019: 0/4 trimestres válidos; gentrificacion:2021:brecha_precio_renta_3a ausente/no finito, precio 2018: 0/4 trimestres válidos; gentrificacion:2022:brecha_precio_renta_3a ausente/no finito, precio 2019: 0/4 trimestres válidos",2020,2023
08263,Sant Vicenç dels Horts,True,,2020,2023
08266,Cerdanyola del Vallès,True,,2020,2023
